,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
1516,5/5/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.341667,25.8,24,IS 52,New York
1518,5/4/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.370833,31.2,29,IS 52,New York
1520,5/3/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.041667,21.4,20,IS 52,New York
1522,5/2/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.908333,14.6,13,IS 52,New York
1524,5/1/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.720833,31.8,29,IS 52,New York
1526,4/30/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.3625,26.7,25,IS 52,New York
1528,4/29/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.179167000000001,32.8,30,IS 52,New York
1530,4/28/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.779167,31.9,29,IS 52,New York
1532,4/27/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.991667,14.9,13,IS 52,New York
1535,4/25/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,19.5125,40.0,38,IS 52,New York
1537,4/26/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.166667,15.1,14,IS 52,New York
1538,4/24/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,16.620832999999998,29.0,27,IS 52,New York
1540,4/23/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,19.3,27.7,25,IS 52,New York
1542,4/22/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.5125,15.2,14,IS 52,New York
1544,4/21/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.6625,30.0,28,IS 52,New York
1546,4/20/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.3625,36.7,34,IS 52,New York
1548,4/19/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.845832999999999,29.8,27,IS 52,New York
1550,4/18/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.375,21.9,20,IS 52,New York
1552,4/17/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.1,23.7,22,IS 52,New York
1554,4/16/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.020833,15.7,14,IS 52,New York
1556,4/15/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.9625,17.8,16,IS 52,New York
1558,4/14/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.15,22.2,21,IS 52,New York
1560,4/13/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.2875,14.6,13,IS 52,New York
1562,4/12/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.5375,43.2,41,IS 52,New York
1564,4/11/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.316667,23.0,22,IS 52,New York
1566,4/10/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.875,12.0,11,IS 52,New York
1568,4/9/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.095833,37.2,35,IS 52,New York
1570,4/8/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.1125,33.2,31,IS 52,New York
1572,4/7/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.458332999999998,33.4,31,IS 52,New York
1574,4/6/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.425,20.6,19,IS 52,New York
1576,4/5/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,21.675,37.2,35,IS 52,New York
1578,4/4/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.908333,19.5,18,IS 52,New York
1580,4/3/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.5833330000000005,10.5,9,IS 52,New York
1583,4/1/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.666667,17.4,16,IS 52,New York
1585,4/2/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.375,13.4,12,IS 52,New York
1586,3/31/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.491667,18.3,17,IS 52,New York
1588,3/30/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.958333,29.0,27,IS 52,New York
1590,3/29/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,5.65,10.8,9,IS 52,New York
1592,3/28/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,11.625,17.9,16,IS 52,New York
1594,3/27/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,17.758333,48.3,45,IS 52,New York
1596,3/26/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,19.004167000000002,34.7,32,IS 52,New York
1598,3/25/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,10.883333,15.2,14,IS 52,New York
1600,3/24/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.420833,24.7,23,IS 52,New York
1602,3/23/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.095832999999999,18.3,17,IS 52,New York
1604,3/22/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.2,16.6,15,IS 52,New York
